付款方式: None; 運送商: None; 金額: None; 通路: None; 商家名稱: 迪卡儂
付款方式: 街口支付; 運送商: None; 金額: None; 通路: None; 商家名稱: 森氏自家烘焙
付款方式: 街口支付; 運送商: None; 金額: None; 通路: None; 商家名稱: 雲鼎阿二麻辣
付款方式: None; 運送商: None; 金額: None; 通路: None; 商家名稱: 雅漾國際
付款方式: None; 運送商: None; 金額: None; 通路: None; 商家名稱: 路易莎咖啡
付款方式: 綠界; 運送商: None; 金額: None; 通路: None; 商家名稱: 德瑋
付款方式: None; 運送商: None; 金額: None; 通路: 91APP; 商家名稱: None
付款方式: None; 運送商: None; 金額: None; 通路: None; 商家名稱: 閤家生活開發
付款方式: None; 運送商: None; 金額: None; 通路: None; 商家名稱: 潤泰旭展
付款方式: None; 運送商: None; 金額: None; 通路: 優食; 商家名稱: HALO APO
付款方式: None; 運送商: None; 金額: None; 通路: 優食; 商家名稱: Healthy
付款方式: None; 運送商: None; 金額: None; 通路: 優食; 商家名稱: Johnny B
付款方式: None; 運送商: None; 金額: None; 通路: 優食; 商家名稱: Just Da
付款方式: None; 運送商: None; 金額: None; 通路: 優食; 商家名稱: Peeta
付款方式: None; 運送商: None; 金額: None; 通路: 優食; 商家名稱: The Label
付款方式: None; 運送商: None; 金額: None; 通路: 優食; 商家名稱: True Win
付款方式: None; 運送商: None; 金額: None; 通路: None; 商家名稱: 嚐
付款方式: None; 運送商: None; 金額: None; 通路: None; 商家名稱: 隱餐飲集團
付款方式: 藍新; 運送商: None; 金額: None; 通路: None; 商家名稱: None
付款方式: 藍新; 運送商: None; 金額: None; 通路: None; 商家名稱: Survey Cafe
付款方式: None; 運送商: None; 金額: None; 通路: None; 商家名稱: 鑫山國際
付款方式: None; 運送商: None; 金額: None; 通路: None; 商家名稱: Paris Croissant
付款方式: None; 運送商: None; 金額: None; 通路: None; 商家名稱: 找不到對應名字(COURSRA5YNPFK9FV3QJPM)
付款方式: None; 運送商: None; 金額: None; 通路: None; 商家名稱: Disney+
付款方式: None; 運送商: None; 金額: None; 通路: None; 商家名稱: Facebook
付款方式: None; 運送商: None; 金額: None; 通路: None; 商家名稱: Grazia Gelato and Coffee
付款方式: None; 運送商: None; 金額: None; 通路: None; 商家名稱: GYOCHON CHIKIN
付款方式: None; 運送商: None; 金額: None; 通路: None; 商家名稱: KEIMATEU
付款方式: None; 運送商: None; 金額: None; 通路: None; 商家名稱: MC THAI
付款方式: None; 運送商: None; 金額: None; 通路: None; 商家名稱: SEUPAO
付款方式: None; 運送商: None; 金額: None; 通路: None; 商家名稱: TOOSSEOM
